geoName,interest,date,lat,long,city
Orlando Florida United States of America,6,2019-02-11,28.5421109,-81.3790304,Orlando 
Philadelphia Pennsylvania United States of America,3,2019-02-11,39.9527237,-75.1635262,Philadelphia 
Portland Oregon United States of America,13,2019-02-11,45.5202471,-122.6741949,Portland 
San Antonio Texas United States of America,12,2019-02-11,29.4246002,-98.4951405,San Antonio 
San Francisco California United States of America,5,2019-02-11,37.7790262,-122.4199061,San Francisco 
Seattle Washington United States of America,5,2019-02-11,47.6038321,-122.3300624,Seattle 
St. Louis Missouri United States of America,10,2019-02-11,38.6529545,-90.24111656024635,St. Louis 
Washington District of Columbia United States of America,6,2019-02-11,38.8948932,-77.0365529,Washington 
Atlanta Georgia United States of America,2,2019-02-18,33.7490987,-84.3901849,Atlanta 
Boston Massachusetts United States of America,2,2019-02-18,42.3602534,-71.0582912,Boston 
Charlotte North Carolina United States of America,3,2019-02-18,35.2270869,-80.8431268,Charlotte 
Dallas Texas United States of America,3,2019-02-18,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,3,2019-02-18,39.7392364,-104.9848623,Denver 
El Paso Texas United States of America,16,2019-02-18,31.7754152,-106.4646348,El Paso 
Fresno California United States of America,10,2019-02-18,36.7295295,-119.70886126075588,Fresno 
Grand Junction Colorado United States of America,90,2019-02-18,39.063956,-108.5507317,Grand Junction 
Greensboro North Carolina United States of America,9,2019-02-18,36.0726355,-79.7919754,Greensboro 
Greenville South Carolina United States of America,7,2019-02-18,34.851354,-82.3984882,Greenville 
Hattiesburg Mississippi United States of America,78,2019-02-18,31.3271189,-89.2903392,Hattiesburg 
Jacksonville Florida United States of America,8,2019-02-18,30.3321838,-81.655651,Jacksonville 
Los Angeles California United States of America,1,2019-02-18,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,3,2019-02-18,25.7742658,-80.1936589,Miami 
Minneapolis Minnesota United States of America,3,2019-02-18,44.9772995,-93.2654692,Minneapolis 
New York New York United States of America,1,2019-02-18,36.1021436,-115.17449463280128,New York 
Oklahoma City Oklahoma United States of America,8,2019-02-18,35.4729886,-97.5170536,Oklahoma City 
Orlando Florida United States of America,3,2019-02-18,28.5421109,-81.3790304,Orlando 
Philadelphia Pennsylvania United States of America,2,2019-02-18,39.9527237,-75.1635262,Philadelphia 
Phoenix Arizona United States of America,2,2019-02-18,33.4484367,-112.0741417,Phoenix 
Portland Oregon United States of America,4,2019-02-18,45.5202471,-122.6741949,Portland 
Roanoke Virginia United States of America,13,2019-02-18,37.270973,-79.9414313,Roanoke 
Sacramento California United States of America,3,2019-02-18,38.5815719,-121.4943996,Sacramento 
San Angelo Texas United States of America,100,2019-02-18,31.4648357,-100.4398442,San Angelo 
San Diego California United States of America,4,2019-02-18,32.7174209,-117.1627714,San Diego 
San Francisco California United States of America,4,2019-02-18,37.7790262,-122.4199061,San Francisco 
Seattle Washington United States of America,5,2019-02-18,47.6038321,-122.3300624,Seattle 
Sioux City Iowa United States of America,49,2019-02-18,42.4966815,-96.4058782,Sioux City 
South Bend Indiana United States of America,20,2019-02-18,41.6833813,-86.2500066,South Bend 
St. Louis Missouri United States of America,4,2019-02-18,38.6529545,-90.24111656024635,St. Louis 
Tampa Florida United States of America,3,2019-02-18,27.9477595,-82.458444,Tampa 
Washington District of Columbia United States of America,1,2019-02-18,38.8948932,-77.0365529,Washington 
Albany New York United States of America,3,2019-02-25,42.6511674,-73.754968,Albany 
Atlanta Georgia United States of America,1,2019-02-25,33.7490987,-84.3901849,Atlanta 
Austin Texas United States of America,3,2019-02-25,30.2711286,-97.7436995,Austin 
Bakersfield California United States of America,7,2019-02-25,35.3738712,-119.0194639,Bakersfield 
Baltimore Maryland United States of America,2,2019-02-25,39.2908816,-76.610759,Baltimore 
Birmingham Alabama United States of America,2,2019-02-25,33.5206824,-86.8024326,Birmingham 
Boston Massachusetts United States of America,1,2019-02-25,42.3602534,-71.0582912,Boston 
Burlington Vermont United States of America,6,2019-02-25,44.4762975,-73.2135472,Burlington 
Charlotte North Carolina United States of America,1,2019-02-25,35.2270869,-80.8431268,Charlotte 
Charlottesville Virginia United States of America,16,2019-02-25,38.029306,-78.4766781,Charlottesville 
Chicago Illinois United States of America,1,2019-02-25,41.8755616,-87.6244212,Chicago 
Cleveland Ohio United States of America,1,2019-02-25,41.5051613,-81.6934446,Cleveland 
Columbus Ohio United States of America,2,2019-02-25,39.9622601,-83.0007065,Columbus 
Davenport Iowa United States of America,7,2019-02-25,41.5236436,-90.5776368,Davenport 
Dayton Ohio United States of America,4,2019-02-25,39.7589478,-84.1916069,Dayton 
Denver Colorado United States of America,1,2019-02-25,39.7392364,-104.9848623,Denver 
Erie Pennsylvania United States of America,14,2019-02-25,42.1294712,-80.0852695,Erie 
Fresno California United States of America,3,2019-02-25,36.7295295,-119.70886126075588,Fresno 
Ft. Wayne Indiana United States of America,7,2019-02-25,41.0799898,-85.1386015,Ft. Wayne 
Greensboro North Carolina United States of America,3,2019-02-25,36.0726355,-79.7919754,Greensboro 
Greenville South Carolina United States of America,2,2019-02-25,34.851354,-82.3984882,Greenville 
Harrisburg Pennsylvania United States of America,2,2019-02-25,40.2663107,-76.8861122,Harrisburg 
Hartford Connecticut United States of America,1,2019-02-25,41.764582,-72.6908547,Hartford 
Indianapolis Indiana United States of America,1,2019-02-25,39.7683331,-86.1583502,Indianapolis 
Lansing Michigan United States of America,7,2019-02-25,42.7337712,-84.5553805,Lansing 
Madison Wisconsin United States of America,4,2019-02-25,43.074761,-89.3837613,Madison 
Milwaukee Wisconsin United States of America,2,2019-02-25,43.0349931,-87.922497,Milwaukee 
Minneapolis Minnesota United States of America,1,2019-02-25,44.9772995,-93.2654692,Minneapolis 
Monterey California United States of America,6,2019-02-25,36.2231079,-121.3877428,Monterey 
New Orleans Louisiana United States of America,2,2019-02-25,29.9499323,-90.0701156,New Orleans 
New York New York United States of America,1,2019-02-25,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,2,2019-02-25,28.5421109,-81.3790304,Orlando 
Philadelphia Pennsylvania United States of America,1,2019-02-25,39.9527237,-75.1635262,Philadelphia 
Phoenix Arizona United States of America,1,2019-02-25,33.4484367,-112.0741417,Phoenix 
Portland Oregon United States of America,2,2019-02-25,45.5202471,-122.6741949,Portland 
Presque Isle Maine United States of America,100,2019-02-25,46.681479,-68.016357,Presque Isle 
Raleigh North Carolina United States of America,2,2019-02-25,35.7803977,-78.6390989,Raleigh 
