topic,Week,interest
FIFA Women's World Cup,2019-10-27,<1
FIFA Women's World Cup,2019-11-03,<1
FIFA Women's World Cup,2019-11-10,<1
FIFA Women's World Cup,2019-11-17,<1
FIFA Women's World Cup,2019-11-24,<1
FIFA Women's World Cup,2019-12-01,<1
FIFA Women's World Cup,2019-12-08,<1
FIFA Women's World Cup,2019-12-15,<1
FIFA Women's World Cup,2019-12-22,<1
FIFA Women's World Cup,2019-12-29,<1
government shutdown,2019-01-06,100
government shutdown,2019-01-13,92
government shutdown,2019-01-20,91
government shutdown,2019-01-27,19
government shutdown,2019-02-03,9
government shutdown,2019-02-10,17
government shutdown,2019-02-17,4
government shutdown,2019-02-24,2
government shutdown,2019-03-03,1
government shutdown,2019-03-10,1
government shutdown,2019-03-17,1
government shutdown,2019-03-24,1
government shutdown,2019-03-31,1
government shutdown,2019-04-07,<1
government shutdown,2019-04-14,<1
government shutdown,2019-04-21,<1
government shutdown,2019-04-28,<1
government shutdown,2019-05-05,<1
government shutdown,2019-05-12,<1
government shutdown,2019-05-19,<1
government shutdown,2019-05-26,<1
government shutdown,2019-06-02,<1
government shutdown,2019-06-09,<1
government shutdown,2019-06-16,<1
government shutdown,2019-06-23,<1
government shutdown,2019-06-30,<1
government shutdown,2019-07-07,<1
government shutdown,2019-07-14,<1
government shutdown,2019-07-21,<1
government shutdown,2019-07-28,<1
government shutdown,2019-08-04,<1
government shutdown,2019-08-11,<1
government shutdown,2019-08-18,<1
government shutdown,2019-08-25,<1
government shutdown,2019-09-01,<1
government shutdown,2019-09-08,<1
government shutdown,2019-09-15,<1
government shutdown,2019-09-22,1
government shutdown,2019-09-29,<1
government shutdown,2019-10-06,<1
government shutdown,2019-10-13,<1
government shutdown,2019-10-20,<1
government shutdown,2019-10-27,<1
government shutdown,2019-11-03,1
government shutdown,2019-11-10,1
government shutdown,2019-11-17,4
government shutdown,2019-11-24,<1
government shutdown,2019-12-01,1
government shutdown,2019-12-08,1
government shutdown,2019-12-15,3
government shutdown,2019-12-22,<1
government shutdown,2019-12-29,<1
Greta Thunberg,2019-01-06,<1
Greta Thunberg,2019-01-13,<1
Greta Thunberg,2019-01-20,<1
Greta Thunberg,2019-01-27,<1
Greta Thunberg,2019-02-03,<1
Greta Thunberg,2019-02-10,<1
Greta Thunberg,2019-02-17,<1
Greta Thunberg,2019-02-24,<1
Greta Thunberg,2019-03-03,<1
Greta Thunberg,2019-03-10,2
Greta Thunberg,2019-03-17,1
Greta Thunberg,2019-03-24,1
Greta Thunberg,2019-03-31,<1
Greta Thunberg,2019-04-07,<1
Greta Thunberg,2019-04-14,1
Greta Thunberg,2019-04-21,2
Greta Thunberg,2019-04-28,1
Greta Thunberg,2019-05-05,1
Greta Thunberg,2019-05-12,1
Greta Thunberg,2019-05-19,1
Greta Thunberg,2019-05-26,1
Greta Thunberg,2019-06-02,1
Greta Thunberg,2019-06-09,<1
Greta Thunberg,2019-06-16,<1
Greta Thunberg,2019-06-23,<1
Greta Thunberg,2019-06-30,<1
Greta Thunberg,2019-07-07,<1
Greta Thunberg,2019-07-14,<1
Greta Thunberg,2019-07-21,1
Greta Thunberg,2019-07-28,1
Greta Thunberg,2019-08-04,1
Greta Thunberg,2019-08-11,3
Greta Thunberg,2019-08-18,2
Greta Thunberg,2019-08-25,6
Greta Thunberg,2019-09-01,2
Greta Thunberg,2019-09-08,4
Greta Thunberg,2019-09-15,16
Greta Thunberg,2019-09-22,100
Greta Thunberg,2019-09-29,28
Greta Thunberg,2019-10-06,14
Greta Thunberg,2019-10-13,7
Greta Thunberg,2019-10-20,5
Greta Thunberg,2019-10-27,7
Greta Thunberg,2019-11-03,7
Greta Thunberg,2019-11-10,6
Greta Thunberg,2019-11-17,6
Greta Thunberg,2019-11-24,4
Greta Thunberg,2019-12-01,7
Greta Thunberg,2019-12-08,49
Greta Thunberg,2019-12-15,25
Greta Thunberg,2019-12-22,8
Greta Thunberg,2019-12-29,9
Hurricane Dorian,2019-01-06,0
Hurricane Dorian,2019-01-13,0
Hurricane Dorian,2019-01-20,0
Hurricane Dorian,2019-01-27,0
Hurricane Dorian,2019-02-03,0
Hurricane Dorian,2019-02-10,<1
Hurricane Dorian,2019-02-17,0
Hurricane Dorian,2019-02-24,0
Hurricane Dorian,2019-03-03,0
Hurricane Dorian,2019-03-10,0
Hurricane Dorian,2019-03-17,0
Hurricane Dorian,2019-03-24,0
Hurricane Dorian,2019-03-31,0
Hurricane Dorian,2019-04-07,0
