geoName,interest,date
geoName,interest,date
Albuquerque-Santa Fe NM,10,2019-03-04
Alexandria LA,38,2019-03-04
Amarillo TX,14,2019-03-04
Atlanta GA,1,2019-03-04
Austin TX,2,2019-03-04
Bakersfield CA,9,2019-03-04
Baltimore MD,3,2019-03-04
Bangor ME,18,2019-03-04
Beaumont-Port Arthur TX,17,2019-03-04
"Billings, MT",26,2019-03-04
Binghamton NY,27,2019-03-04
Birmingham AL,5,2019-03-04
Bluefield-Beckley-Oak Hill WV,39,2019-03-04
Boise ID,7,2019-03-04
Boston MA-Manchester NH,4,2019-03-04
Bowling Green KY,31,2019-03-04
Buffalo NY,3,2019-03-04
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,6,2019-03-04
Champaign & Springfield-Decatur IL,8,2019-03-04
Charleston SC,8,2019-03-04
Charlotte NC,1,2019-03-04
Charlottesville VA,20,2019-03-04
Chattanooga TN,13,2019-03-04
Cheyenne WY-Scottsbluff NE,43,2019-03-04
Chicago IL,3,2019-03-04
Chico-Redding CA,12,2019-03-04
Cincinnati OH,4,2019-03-04
Cleveland-Akron (Canton) OH,5,2019-03-04
Colorado Springs-Pueblo CO,17,2019-03-04
Columbia SC,5,2019-03-04
Columbia-Jefferson City MO,13,2019-03-04
Columbus GA,11,2019-03-04
Columbus OH,3,2019-03-04
Dallas-Ft. Worth TX,2,2019-03-04
Dayton OH,5,2019-03-04
Denver CO,3,2019-03-04
Detroit MI,1,2019-03-04
Duluth MN-Superior WI,16,2019-03-04
Elmira NY,29,2019-03-04
Eureka CA,38,2019-03-04
Flint-Saginaw-Bay City MI,6,2019-03-04
Florence-Myrtle Beach SC,8,2019-03-04
Ft. Myers-Naples FL,8,2019-03-04
Ft. Smith-Fayetteville-Springdale-Rogers AR,14,2019-03-04
Ft. Wayne IN,9,2019-03-04
Grand Rapids-Kalamazoo-Battle Creek MI,3,2019-03-04
Green Bay-Appleton WI,8,2019-03-04
Greensboro-High Point-Winston Salem NC,6,2019-03-04
